title,year,authors,note,edition,editors,publisher,ISBN
Pine Creek Climbing Guide,2018,Tai Devore,,,Mary Devore,Toiler Press,978-0-692-12104-7
Portland Rock Climbs,2018,Tim Olson,,5,,,9780963566089
Portland Rock Climbs,2007,Tim Olson,,3,,,
Portland Rock Climbs: A climber's guide to Northwest Oregon,2001,Tim Olson ,,,,,
Poudre Canyon Rock Climbing,2021,Bennett Scott,,3,,Fixed Pin Publishing,
Poudre Canyon Rock Climbing Guide,2010,"Craig Luebben, Bennett Scott, Cameron Cross",,2,,Fixed Pin Publishing,
Prairie walls: A climber's guide to Minnesota's Blue Mounds State Park,1989,Don Hynek,,,,Granite Publishing,961957115
Rainbow Canyon: A climber's guide,2008,Michelle Locatelli,second edition was planned,,,,
Rampart Range Rocks,,Tod Anderson,,,,Sharp End Publishing,
RED FEATHER LAKES CLIMBING GUIDE,,Bennett Scott,,1,,Fixed Pin Publishing,
Red River Gorge Climbs: a Comprehensive Rock Climbing Guide to Kentucky's Red River Gorge,1998,John H. Bronaugh ,,,,,
Red River Gorge Climbs: a Rock Climbing Guide to Kentucky's Red River Gorge,1993,John H. Bronaugh ,,,,,
Red River Gorge North,2013,"Ray Ellington, Dustin Stephens",,4,,Wolverine Publishing,978-1938393037
Red River Gorge Rock Climbs,2010,Ray Ellington,,3,,Wolverine Publishing,978-0982615423
Red River Gorge Select,2018,"Dario Ventura, Mike Williams, Ray Ellington",,,,Wolverine Publishing,9781938393327
Red River Gorge South,2017,"Ray Ellington, Blake Bowling",,5,,Wolverine Publishing,9781938393273
Red Rock Canyon - The Red Book Supplement,2003,Joanne Urioste,,,,,
Red Rock Canyon: A Climbing Guide,2005,"Roxanna Brock, Jared Mcmillen",,,,Mountaineers Books,
Red Rocks Bouldering Guidebook,2023,Tom Moulin,digital edition,,,KAYA,
Red Rocks Climbing,2004,Greg Barnes,,1,,Supertopo,
Red Rocks: A Climber's Guide,2007,Jerry Handren,,,,,
Red Rocks: A Climber's Guide II,2016,Jerry Handren,,2,,Handbook Publishing,978-1-4951-8204-4
Redwood Burl,2022,Evan Wisheropp,,1,,Wolverine Publishing,9781938393464
Refuge Bouldering: Bouldering In The Wichita Mountains Wildlife Refuge,2021,Ryan Sheldon,,,,Sharp End Publishing,978-1892540577
Ric Geiman's Garden Guide: A Rock Climber's Guide to the Garden of the God's Best Climbs,1998,Ric Geiman,,,,Blue Clover Press,978-0962886737
Rifle: A Climber’s Guide,2021,Darek Krol,,4,,Wolverine Publishing,9781938393419
Rock 'n' Road: An Atlas of North American Rock Climbing Areas,2002,Tim Toula,,2,,Falcon Guides,978-0762723065
Rock climber's guide to Aspen,1989,Molly Higgins Bruce,,3,,,
Rock Climber's Guide to Sedona & Oak Creek Canyon,1995,Tim Toula,out of print,1,,Falcon Guides,978-0934641166
Rock Climber's Guide to the Alabama Hills,,Michael Strassman,out of print,,,,
Rock Climbing Arizona,1999,Stewart M. Green,,,,,
Rock Climbing Arkansas,,Cole Fennel,,2,,Fixed Pin Publishing,
Rock Climbing Arkansas – Volume 1: HORSESHOE CANYON,,Cole Fennel,,3,,Natural State Publishing,
"Rock Climbing At Vedauwoo, Wyoming",,Robert B. Kelman,,,,Heel and Toe Publishers,
Rock Climbing Boulder Canyon,1998,Richard Rossiter,,1,,Falcon Guides,978-1560447504
Rock Climbing Clear Creek Canyon,2020,Kevin Capps,,3,,Fixed Pin Publishing,
Rock Climbing Colorado,2019,Stewart M. Green,,3,,Falcon Guides,9781493037353
Rock Climbing Colorado,2010,Stewart M. Green ,,2,,Falcon Guides,
Rock Climbing Connecticut,2015,David Fasulo,,2,,Falcon Guides,978-1493009909
Rock Climbing Connecticut,2002,David Fasulo,,1,,Falcon Guides,978-0762722143
Rock Climbing Desert Rock III: Moab to Colorado National Monument,1999,Eric Bjornstad,,,,,
Rock Climbing Desert Rock IV: The Colorado Plateau Backcountry: Utah,2003,Eric Bjornstad,,,,,
Rock Climbing Eldorado Canyon,2000,Richard Rossiter,,,,Falcon Guides,
"Rock Climbing Grand Ledge, MI",,"Jason Haas, Christopher Nowak",digital download,,,Fixed Pin Publishing,
Rock Climbing Guide to Rumney,2001,Ward Smith,,4,,Vertical Brain Publishing,978-0971237704
Rock Climbing Guide to the Castle Rock Area,2007,Bruce Morris,,1,,MorrComm Press,0-9650234-4-3
Rock Climbing Horseshoe Canyon,2013,Cole Fennel ,,,,,
Rock Climbing Idaho's City of Rocks,1998,Tony Calderone,,,,,
"Rock Climbing Jackson Hole & Pinedale, WY",2011,Wesley Gooch,out of print,2,,Ground Up Publishing,
Rock Climbing Joshua Tree,2000,Randy Vogel ,,2,,Falcon Guides,978-0934641302
Rock Climbing Joshua Tree West,2006,Randy Vogel,,1,,Falcon Guides,978-0762729654
Rock Climbing Lake Tahoe,1999,Mike Carville,,,,,
Rock Climbing Minnesota and Wisconsin,2000,Mike Farris ,,,,,
Rock Climbing Minnesota and Wisconsin,2012,Mike Farris,,2,,Falcon Guides,‎978-0762773466
Rock Climbing New England,2015,Stewart M. Green,,2,,Falcon Guides,978-0762790067
Rock Climbing New England,2001,Stewart M. Green,,1,,Falcon Guides,
Rock Climbing New Jersey,2000,Paul Nick ,,,,,
Rock Climbing New Mexico,2006,Dennis Jackson,,2,,Falcon Guides,978-0762731329
Rock Climbing New Mexico and Texas,1996,Dennis Jackson,,1,,Falcon Guides,
Rock Climbing Northwest California,2001,Steven Mackay,,,,,
Rock Climbing Oregon,2006,"Benjamin Ruef, Adam Bolf",,1,,Falcon Guides,978-0762740062
Rock Climbing Oregon's Smith Rock State Park,2023,Alan Watts,,3,,Falcon Guides,978-1493030187
Rock Climbing Oregon's Smith Rock State Park,2010,Alan Watts,,2,,Falcon Guides,978-0762741243
Rock Climbing Oregon's Smith Rock State Park,,Alan Watts,,,,Falcon Guides,9781493030194
Rock Climbing Santa Barbara and Ventura,2000,Steve Edwards,,,,,
Rock Climbing Shelf Road,1999,Mark Van Horn,,,,,
Rock Climbing Shelf Road,1999,Mark Van Horn,,,,,
Rock Climbing St Vrain Canyons,2009,Bernard Gillett,,,,Sharp End Publishing,
ROCK CLIMBING STAUNTON STATE PARK,,"Matt Clark, Jason Haas, Dave Montgomery, Mike Morin, Amanda Peterson, Eric Schmeer, Kevin Stricker",digital download,,,Fixed Pin Publishing,
"Rock Climbing Tahquitz and Suicide Rocks, 3rd",2001,"Randy Vogel, Bob Gaines",,,,,
Rock Climbing the Flatirons ,1999,Richard Rossiter ,,1,,Falcon Guides,978-1560449188
Rock Climbing the San Francisco Bay Area,2014,Tresa Black,,2,,Falcon Guides,978-0762786671
Rock Climbing the San Francisco Bay Area,2002,Tresa Black,,1,,Falcon Guides,978-0762711437
Rock Climbing the San Luis Valley ,1999,Bob D'antonio,,3,,Falcon Guides,978-1560449140
Rock Climbing the Wasatch Range,1998,"Stuart Ruckman, Bret Ruckman ",,2,,Falcon Guides,978-1575400907
Rock Climbing the Wasatch Range ,2003,"Stuart Ruckman, Bret Ruckman",,1,,Falcon Guides,978-0762727308
Rock Climbing Tuolumne Meadows,2006,"Don Reid, Chris Falkenstein ",,4,,Falcon Guides,978-0762734283
Rock Climbing Utah,2012,Stewart M. Green ,,2,,Falcon Guides,978-0762744510
Rock Climbing Utah,1998,Stewart M. Green,,1,,Falcon Guides,
"Rock Climbing Virginia, West Virginia, and Maryland",2013,"Eric Horst, Stewart M. Green",,2,,Falcon Guides,978-0762784349
"Rock Climbing Virginia, West Virginia, and Maryland ",2001,Eric Horst  ,,,,Falcon Guides,
Rock Climbing Washington,2019,Jeff Smoot,,3,,Falcon Guides,978-1493039418
Rock Climbing Washington,2009,Jeff Smoot,,2,,Falcon Guides,978-0762736614
Rock Climbing Wyoming,2016,Sam Lightner Jr,,,,Falcon Guides,978-1493016129
Rock Climbing Yosemite Valley,2018,"Erik Sloan, Marek Jakubowski",,,,,
Rock Climbing Yosemite's Select,1998,Don Reid,,,,,
Rock Climbs Of Acadia,,Grant Simmons,,,,Acadia Rock Press,
Rock Climbs of Southwest Utah and the Arizona Strip,,Todd Goss,,,,Sharp End Publishing,
Rock Climbs of the Eastern Big Horns ,2016,Trevor Bowman,,2,,Ground Up Publishing,
"Rocks and routes of the north country, New York: Geological guide for tours, minerals, rock climbing, whitewater",1976,Bradford B. VanDiver,,,,,
Rocky Heights: A Guide to Boulder Free Climbs 1980,1980,James S. Erickson,out of print,,,,
Rocky Mountain National Park,2015,Richard Rossiter,out of print?,,,Fixed Pin Publishing,
Rocky Mountain National Park Bouldering,2023,Jamie Emerson,,,,Sharp End Publishing,
Rocky Mountain National Park: Classic Hikes and Climbs,1988,Gerry Roach,,,,,
Rocky Mountain National Park: Classic Hikes and Climbs,1988,Gerry Roach,out of print,1,,,
Rocky Mountain National Park: The Climber's Guide,1993,Bernard Gillett,out of print ,1,,,
Rocky Mountain rock climbs,1985,John Harlin ,,,,,
Rumbling Bald Bouldering Guide,2008,Chris Dorrity,,1,,King Coal Propaganda,978-0967827056
Rumbling Bald Rock Climbs Second Edition,,"Sean Cobourn, Mike Reardon",,,,Ground Up Publishing,
Rumney,2017,Ward Smith,,4,,Vertical Brain Publishing,978-0971237704
Rushmore needles climbing guide,1995,Mike Kusiek,,,,,
San Diego climbing guide,1999,Samuel Golding ,,,,,
Sandia Rock,2013,Mick Schein,,2,,Sharp End Publishing,978-1892540836
Sedona Rocks!: A Climber's Guide,2012,"David Bloom, Erik Wolfe",,,,,
Select Climbs In The Desert Southwest,1999,Cameron Burns,,,,,
Selected Climbs in North Carolina,2002,"Yon Lambert, Harrison Shull ",,,,,
Selected Climbs in the Cascades - Volume 1,2003,"Jim Nelson, Peter Potterfield",,,,,
Selected Climbs in the Cascades - Volume II,2000,"Jim Nelson, Peter Potterfield",,,,,
Selected free climbs of the Black Hills Needles: A poorperson's guidebook,1981,Dingus McGee ,,,,,
"Seneca Rocks, W. Va: A climber's guide",1980,Bill Webster,,,,,
Seneca: The Climber's Guide,2021,"Kevin O'Brien, Andy Weinmann",,4,,Earthbound Sports,
SENECA: THE CLIMBER'S GUIDE,2006,Tony Barnes,,2,,Earthbound Sports,978-0964369887
Serious play: An annotated guide to traditional Front Range classics 5.2-5.9,2002,Steve Dieckhoff,,,,,
Shawangunk Rock Climbs: Sky Top,1997,Dick Williams,,,,,
Shelf Road Rock,,Rick Thompson,,3,,Sharp End Publishing,
Shelf Road Rock (version 4),1999,Fred Knapp ,out of print,,,,
Shuteye Ridge,2013,Grahm Doe,,,,,
Sky Valley Rock: A guide to rock climbs of the Skyomish River Valley,2000,Darryl Cramer ,,,,,
Smith Rock Select,2009,Jonathan Thesenga,,,,,
Soft touch: A rock climber's guide to the Garden of the Gods,1997,Mark Rolofson,,,,,
Soft Touch: A Rock Climbers Guide to the Garden of the Gods,1979,Mark Rolofson,out of print,1,,,
"Solitary Summits: A Climbers Guide to the Less Visited Rocks Of: Rocky Mountain National Park, Roosevelt National Forest, and Estes Park, Colorado, And a Second Title: Lumpy Ridge Revisited",1982,Scott Kimball,out of print,,,,
"Solitary summits: A climbers guide to the less visited rocks of: Rocky Mountain National Park, Roosevelt National Forest, Estes Park, Colorado",1982,Scott Kimball,,,,,
South Dakota Needles: The Adventure Climbs Of Herb And Jan Conn,2009,Lindsay Stephens,,,,Sharp End Publishing,
South Lake Tahoe Climbing,2004,Chris McNamara,,1,,Supertopo,
South Platte Climbing: The Northern Volume,2012,"Jason Haas, Ben Schneider, Craig Weinhold",,,,Fixed Pin Publishing,
SOUTH PLATTE CLIMBING: THE THUNDER RIDGE AND TURKEY ROCK EDITION,2014,Jason Haas,,,,Fixed Pin Publishing,
South Platte Rock Climbing and the Garden of the Gods,1988,"Peter Rolofson, Mark Hubbel",,,,,
South Platte Rock Climbing and the Garden of the Gods,1988,"Peter Hubbell, Mark Rolofson",out of print,,,,
Southern California Rock Climbing,1995,Craig Fry,,2,,Falcon Guides,978-0934641579
Southern California Rock Climbing,2013,Tom Slater,,1,,Maximus Press,978-0-9824988-1-1
Southern California Rock Climbing,,Tom Slater,,,,Wolverine Publishing,
Southern Nevada Bouldering III,2023,Tom Moulin,,,,Snell Press,
Southern Pisgah Rock and Ice,,Unknown,credits Generations of NC Climbers,,,Ground Up Publishing,
"Southern sandstone: A climber's guide to Chattanooga, Tennessee",1985,Rob Robinson,,,,,
Southern Sierra Rock Climbing: Domelands,1992,"Sally Moser, Greg Vernon, Fred Beckey",first edition,,,Chockstone Press,
Southern Sierra Rock Climbing: The Needles,1999,"Greg Vernon, Patrick Paul",,,,,
Southwest Rock Climbing SoCal Select,1993,Randy Vogel,,,,,
"Spearfish Canyon, The VC, and other Black Hills LImestone",,Mikel Cronin,,1,,Sharp End Publishing,
Spokane Bouldering,2022,"Nate Lynch, Shane Collins",,,,Sharp End Publishing,978-1954040069
"Sport climber's guide to Skyline Boulevard: Featuring Castle Rock State Park, Sanborn Skyline County Park & Midpeninsula Regional Open Space District Preserves",1995,Bruce Morris,,,,,
"Sport climber's guide to the Castle Rock area: Featuring Stevens Canyon Boulder, Summit and Indian Rocks, the Western Addition, and Castle Rock Falls",1992,David Caunt,out of print,,,,
Sport Climbing In The Santa Monicas,2018,"Louie Anderson, Todd Fertig",,3,,Louie Anderson Publisher,9780976663027
Sport crags of the east: Rock climbers' guide to the east coast,1994,Steve Cater,,,,,
Squeezing the Lemmon II... More Juice than Ever: A rock climber's guide to the Mt. Lemmon Highway,2000,Eric Fazio-Rhicard ,,2,,,
Squeezing the Lemmon III Enough Lemmonade for a Lifetime: A Rock Climber's Guide to the Mt. Lemmon Highway Arizona,2015,Eric Fazio-Rhicard ,,3,,,978-0692444634
"SQUEEZING THE LEMMON: A rock climber's guide to the Mt. Lemmon Highway, Tucson, Arizona",1991,Eric Fazio-Rhicard,,1,,,
St. George Bouldering,2017,Dallas Lasley,,,,Sharp End Publishing,
Stone Crusade: A Historical Guide to Bouldering in America ,1996,John Sherman,,,,,
Stone Fort Bouldering,2021,Alvin C. Torque,might be a duplicate?,3,,Rockery Press,
Stone Fort Bouldering,2022,Andy Wellmann,might be a duplicate?,,,Greener Grass Publishing, 978-0-692-50024-8
Tahoe: Rock climbing,1987,Christine Jenkewitz-Meytras ,,,,,
Tahquitz and Suicide Rocks ,1979,American Alpine Club,,,,,
Take me to the river: Rock climbers' guide to New River Gorge,1992,Steve Cater,,,,,
Taos Rock: Climbs and Boulders of Northern New Mexico,2005,Jay Foley,,,,Sharp End Publishing,
Ten Sleep Canyon Climbing,2019,Louie Anderson,first edition,,,Wolverine Publishing,
Ten Sleep Canyon Climbing,2023,Louie Anderson,second edition,,,Louie Anderson Publisher,9780976663041
Teton Ice,2022,Garrick Hart,,,,K. Daniels Publishing,
Teton Rock Climbs,2012,Aaron Gams,,,,Ground Up Press,9780976636328
Texas Canyon Climbing Guide,2019,"Pam Neal, Ben Chapman",first edition,,,Louie Anderson Publisher,9780976663065
Texas Limestone II,1996,"Jeff Jackson, Kevin Gallagher, Rebecca Gonzales",,2,,Homo Aggro Press,978-0964691643
Thath-AA-Ai-Atah: A Rock Climber's & Scrambler's Guide to the Lumpy Ridge Area,1980,"Chip Salaun, Scott Kimball",out of print,,,,
The Black,2016,Vic Zeilman,,,,K. Daniels Publishing,978-0-07-292015-4
The Brown Book of Lies: A Topographical Guidebook to South Platte Rock Climbs,1983,Peter Hubbell,out of print,,,,
The Bugaboos: The Climbers Guide,,"Chris Atkinson, Marc Piché",,,,High Col Press,
"The Climber's Guide to North America, Volume III: East Coast Rock Climbs",1986,John Harlin ,,,,,
The Climber's Guide to North America: West Coast Rock Climbs,1987,John Harlin,,,,,
The Climber's Guide To The Shawangunks: The Near Trapps And Millbrook,,Dick Williams,,,,,
The Climber's Guide To The Shawangunks: The Trapps,2004,Dick Williams,,3,,,
The climbing guidebooks of the United States,1993,Randy Vogel,,,,,
The Colorado's 14ers Pack Guide,2011,Colorado Mountain Club Foundation,,3,,,
The Colorado's 14ers: The Standard Routes,2010,Colorado Mountain Club Foundation,,,,,
"The Deep South Climber's Companion: A Rock Climber's Guide to Tennessee, Alabama, and Georgia ",1993,"Rob Robinson, Chris Watford ",,,,,
The Devil Made Me Do It! Climber's Guide to Devil's Head,1998,Tod Anderson,out of print,,,,
The Enchanted Tower,,"Eric Fazio-Rhicard, Guy Agee",,,,,
"The Good, The Great, And The Awesome",2016,Peter Croft,,2,,Maximus Press,9780982498835
"The Good, the Great, and the Awesome: The Top 40 High Sierra Rock Climbs",2002,Peter Croft,,,,,
The Gunks guide,1990,Todd Swain,,1,,Falcon Guides,
The Gunks Guide,2004,Todd Swain,,3,,Falcon Guides,978-0762738366
The Gunks Guide,1998,Todd Swain,,2,,Falcon Guides,
The Gunks Select (The Definitive Guide to the Best Rock Climbing Routes in the Shawangunks),1996,Dick Williams,,,,,
The High Peaks: A Climbing Guide to the Mountain Areas of Rocky Mountain National Park,1981,Richard DuMais,out of print,,,,
The High Peaks: A Climbing Guide to the Mountain Areas of Rocky Mountain National Park,1987,Richard DuMais,out of print,2,,,
The High Sierra: Peaks-Passes-Trails,2009,R. J. Secor,,,,Mountaineers Books,978-0-89886-971-2
The Index Town Walls,2017,"Chris Kalman, Matty Van Biene",,,,Sharp End Publishing,
The Laramie Range,2015,"Zach Orenczak, Rachael Lynn",,,,Falcon Guides,978-0983242727
The Needles,2014,"Zach Orenczak, Rachael Lynn",,,,,9780983242710
The Needles Climbing: A Complete Guide,2017,Kristian Solem,,,,K. Daniels Publishing,978-0-692-72067-7
The Needles of Rushmore: Climbing in South Dakota's Mt. Rushmore National Memorial,2012,"Andrew Busse, Andrew Burr",maybe out of print,,,Fixed Pin Publishing,
The Notches,2021,Jon Sykes,,,,Eagle Cliff Publshing,978-0-692-81762-9
The Obed,2020,Kelly Brown,Kelly Brown is a man from photos online and bio on publisher's site,2,,Rockery Press,978-0-9833820-0-3
the Park: Crags and High Peaks of Rocky Mountain National Park,,"Fred Knapp, Mike Stevens",,,,Sharp End Publishing,
The Pass: A Climber’s Guide to Independence Pass and Monitor Rock,2023,"Jason Brown, Mike Schneiter",,,,Wolverine Publishing,9781938393488
The Red,2022, Brendan Leader,,2,,Onsight Photography and Publishing,9780645299915
The red rocks of southern Nevada,1985,Joanne Urioste,,,,Chockstone Press,978-0930410179
The Red Rocks of Southern Nevada,1984,Joanne Urioste,out of print,,,,978-0930410179
The Rock Climber's Guide to Montana,1995,"Randall Green, Brad Hutcheson","Doesn't say name on front cover, but both men anyway.",1,,Falcon Press Publishing Company,
The Trad Guide to Joshua Tree,2004,"Charlie Winger, Diane Winger",,,,Colorado Mountain Club Press,978-0-9724413-9-1
The Voo: Rock Climbing in Vedauvoo,2021,"Zach Orenczak, Rachael Lynn",,3,,EXTREME ANGLES,9780983242703
Traprock: Connecticut Rock Climbs,1990,"Ken Nichols, Clint Cummins ",,,,,
True Grit: Cooper's Rock Climbing Guide,2022,Rick Thompson,,,,Sharp End Publishing,
Tuolumne Bouldering,2009,Chris Summit,,1,,Supertopo,
Tuolumne Free Climbs,2009,"Greg Barnes, Chris McNamara, Steve Roper",2nd edition,,,Supertopo,
TUOLUMNE MEADOWS BOULDERING,2015,Charlie Barrett,,1,,Flash Press,
Tuolumne Topropes,2000,Rob Floyd,,,,Sharp End Publishing,978-1892540126
Tuolumne Ultra Classics,2002,"Chris McNamara, Greg Barnes",,,,,
Urban Rock - Stoney Point Climber's Guide,1997,Chris Owen,,,,,
Vedauwoo Rock: A climbing guide to Vedauwoo,1992,Layne Kopischka,,,,,
Vegas Bouldering,2008,Seth Robinson,,,,Wolverine Publishing,
Vermont Rock,2022,Travis Peckham,second edition,,,,
Virginia Climber's Guide,1998,Jeff Watson,,,,,
Wasatch Rock Climbs,1984,Les Ellison,,,,,
Washington Ice,2003,"Jason D. Martin, Alex Krawarik",,,,Mountaineers Books,978-0-89886-946-0
Washington Pass Climbing,2012,Ian Nicholson,,1,,Supertopo,
Weekend Rock Oregon,2006,Ron Horton ,,,,,
Weekend Rock Washington,2006,David Whitelaw,,,,Mountaineers Books,
Weekend Rock: Arizona,2006,Lon Abbott,,,,Mountaineers Books,
West Coast rock climbs,1984,John Harlin,,,,,
Western Sloper: A Rock Climbing Guide to Rifle Mountain Park and Western Colorado,2002,Dave Pegg ,,,,,
Yosemite Big Walls,2011,"Chris McNamara, Chris Van Leuven",,3,,Supertopo,
Yosemite Big Walls,2005,"Chris McNamara, Erik Sloan",2nd edition?,,,Supertopo,
Yosemite Big Walls,2000,Chris McNamara,1st edition?,,,,
Yosemite Bigwalls - The Ultimate Guide,,Erik Sloan,,,,,
Yosemite Bigwalls: The Complete Guide 2020 Edition,2020,Erik Sloan,,,,,
Yosemite Bouldering,2020,"Shannon Joslin, James Lucas, Kimbrough Moore",,,,,
Yosemite Climbs,1987,"George Meyers, Don Reid",,,,,
Yosemite climbs: A Rock Climbing Guide to Yosemite Valley,1982,George Meyers,,,,,
Yosemite Sport Climbs and Top Ropes,2010,"Chris Van Leuven, Chris McNamara",,1,,Supertopo,
Yosemite Topropes,,Rob Floyd,,,,Sharp End Publishing,
Yosemite Ultra Classics,2002,Chris McNamara,,,,,
Yosemite Valley Bouldering,2007,Matt Wilder,,1,,SuperTopo,
Yosemite Valley Free Climbs,2003,"Chris McNamara, Steve Roper, Todd Snyder, Greg Barnes",,1,,SuperTopo,
Zion Climbing: Free and Clean,2009,Bryan Bird,,1,,SuperTopo,
